role_id,candidate_id,skill_name,skill_level,required_level,skill_gap,interpretation,onboarding_intervention
DEV1,C1,Communication,4,2,-2,Exceeds Requirement,Early autonomy
DEV1,C1,Python,2,4,2,Deficit,Formal training required
DEV1,C1,SQL,3,3,0,No Gap,No intervention needed
DEV1,C2,Communication,1,2,1,Deficit,On-the-job coaching recommended
DEV1,C2,Python,4,4,0,No Gap,No intervention needed
DEV1,C2,SQL,4,3,-1,Exceeds Requirement,Early autonomy
PM1,C3,Leadership,4,4,0,No Gap,No intervention needed
PM1,C3,Planning,3,3,0,No Gap,No intervention needed
PM1,C3,Stakeholder communcation,2,2,0,No Gap,No intervention needed
PM1,C4,Leadership,3,4,1,Deficit,On-the-job coaching recommended
PM1,C4,Planning,4,3,-1,Exceeds Requirement,Early autonomy
PM1,C4,Stakeholder communcation,3,2,-1,Exceeds Requirement,Early autonomy
